clip,p_raw,p_smoothed,label
2336,0.51047236,0.3326719286186354,0
2337,0.7977779,0.3146041809093384,0
2338,0.07560672,0.34221323756944566,0
2339,0.06267411,0.37716132970083327,0
2340,0.29317686,0.38905322125979824,0
2341,0.26041025,0.35360546126252124,0
2342,0.078430675,0.3170886543535051,0
2343,0.13287397,0.35395608735936024,0
2344,0.80803883,0.35451704937787276,0
2345,0.11489909,0.3531057902035259,0
2346,0.06846511,0.3210371299868538,0
2347,0.08514129,0.300412230903194,0
2348,0.82773703,0.30256883764550796,0
2349,0.8813629,0.303249064655531,0
2350,0.3563917,0.30589027738287333,0
2351,0.08836977,0.2957560341982614,0
2352,0.13638535,0.3247566854669934,0
2353,0.841558,0.32368243680823416,0
2354,0.078428395,0.3608156643098309,0
2355,0.12896134,0.35996987440046807,0
2356,0.114618085,0.37963448305215153,0
2357,0.07734948,0.4207528210466816,0
2358,0.84306663,0.4207446456310295,0
2359,0.089891486,0.38492825467671665,0
2360,0.11813958,0.34664111140938036,0
2361,0.08035775,0.3357978159827846,0
2362,0.8694239,0.35952560266568545,0
2363,0.055871453,0.38043481129265966,0
2364,0.91267174,0.344045142155318,0
2365,0.79027724,0.34653712259162045,0
2366,0.5278559,0.37029454839371506,0
2367,0.9319502,0.4023987187870912,0
2368,0.08496961,0.44059560359233907,0
2369,0.07559282,0.4052667168989068,0
2370,0.07733291,0.44281231310395963,0
2371,0.1286825,0.47292712206641824,0
2372,0.5866533,0.5077259673603942,0
2373,0.57547873,0.4969541790584722,0
2374,0.07737493,0.49796010376442035,0
2375,0.13075998,0.4684542222391991,0
2376,0.6278673,0.43795491719529733,0
2377,0.78880566,0.41758936040458217,0
2378,0.87948406,0.3767232706858998,0
2379,0.10116001,0.4149560754497845,0
2380,0.878349,0.4155898268024126,0
2381,0.75055057,0.4180568045093899,0
2382,0.8111335,0.4469884875274839,0
2383,0.6432164,0.46102370108876906,0
2384,0.07699587,0.4625438579491206,0
2385,0.29304823,0.4636885796984036,0
2386,0.14979184,0.5002646818757057,0
2387,0.10017918,0.5071676547328631,0
2388,0.07376233,0.5125931164338474,0
2389,0.8878585,0.5139128995083627,0
2390,0.0889016,0.5498744043565931,0
2391,0.12913944,0.547309432001341,0
2392,0.73624784,0.5151432504256566,0
2393,0.8813928,0.5185954322417576,0
2394,0.607402,0.530696174218541,0
2395,0.101414084,0.5312136887084871,0
2396,0.89885813,0.5496623381262735,1
2397,0.7728297,0.5475515269097827,1
2398,0.90274036,0.5809556139366968,1
2399,0.9071995,0.5962627480427425,1
2400,0.8563516,0.5581540316343307,1
2401,0.8244846,0.5633943730166979,1
2402,0.075060755,0.5607035497114771,1
2403,0.8836293,0.5368609630635806,1
2404,0.89733195,0.5361578865420251,1
2405,0.087863676,0.5448598808475903,1
2406,0.6804699,0.5833123074400992,1
2407,0.1054648,0.58406536955209,1
2408,0.801665,0.5871734140174729,1
2409,0.39521214,0.5867411866784096,1
2410,0.087575465,0.5867462275283677,1
2411,0.19894877,0.5892940961888858,1
2412,0.07263215,0.589917884341308,1
2413,0.23555352,0.6284438162332489,1
2414,0.86662817,0.628941322011607,1
2415,0.7901439,0.6247614583089238,1
2416,0.90891504,0.6520747052771704,1
2417,0.91467243,0.6240519530006817,1
2418,0.83809865,0.6600792546357428,1
2419,0.8936636,0.6611683563817115,1
2420,0.90730536,0.6799647279438519,1
2421,0.90985686,0.7184019567711013,1
2422,0.83758414,0.7285209067520643,1
2423,0.8841053,0.7323194923145431,1
2424,0.89407694,0.7647505264197075,1
2425,0.8095548,0.728041329554149,1
2426,0.66144186,0.7316068510214486,1
2427,0.09199207,0.7237976519834426,0
2428,0.86203814,0.7199197085130782,0
2429,0.82453614,0.6846951058223133,0
2430,0.78993595,0.6848192055310521,0
2431,0.8947573,0.6476356667422113,0
2432,0.41144672,0.6097036028901736,0
2433,0.15240245,0.5760660636283104,0
2434,0.91660523,0.5742917099878903,0
2435,0.095735036,0.5577824438611666,0
2436,0.86501986,0.5260759616891543,0
2437,0.74492186,0.5002709513618833,0
